Algorithm,TimeTaken,Nodes,Time/Node
astar,0.0353,1179,0.00002994
dijkstra,0.0808,3617,0.00002234
dijkstra,4.1577,4751,0.00087513
dijkstra,0.0230,4553,0.00000506
dijkstra,0.0225,4467,0.00000504
dijkstra,0.0213,4391,0.00000485
dijkstra,0.0292,4305,0.00000679
dijkstra,0.0238,4217,0.00000564
dijkstra,0.0198,4035,0.00000492
dijkstra,0.0352,3946,0.00000891
dijkstra,0.0276,3871,0.00000714
dijkstra,0.0267,3784,0.00000705
dijkstra,0.0213,3700,0.00000574
dijkstra,0.0196,3615,0.00000541
dijkstra,0.0180,3703,0.00000485
dijkstra,0.0290,3877,0.00000747
dijkstra,0.0248,4396,0.00000565
dijkstra,0.0193,3788,0.00000508
dijkstra,0.0181,3700,0.00000489
dijkstra,0.0361,3784,0.00000954
dijkstra,0.0200,3871,0.00000515
dijkstra,0.0291,3946,0.00000737
dijkstra,0.0207,3871,0.00000534
dijkstra,0.0183,3999,0.00000458
dijkstra,0.0206,4219,0.00000489
dijkstra,0.0213,4425,0.00000482
dijkstra,0.0382,4425,0.00000863
dijkstra,0.0457,4592,0.00000995
dijkstra,0.0482,4592,0.00001051
dijkstra,0.0522,4592,0.00001136
dijkstra,0.0418,4592,0.00000911
dijkstra,0.0464,4733,0.00000981
dijkstra,0.0384,4733,0.00000811
dijkstra,0.0684,4733,0.00001444
dijkstra,0.0425,4861,0.00000875
dijkstra,7.9059,4569,0.00173033
dijkstra,0.0493,4569,0.00001078
dijkstra,0.0557,4569,0.00001220
dijkstra,0.0611,4569,0.00001337
dijkstra,0.0501,4569,0.00001097
dijkstra,0.0533,4569,0.00001167
dijkstra,0.0570,4569,0.00001246
dijkstra,0.0661,4569,0.00001447
dijkstra,0.0658,4569,0.00001440
dijkstra,0.0505,4569,0.00001105
dijkstra,0.0499,4569,0.00001091
dijkstra,0.0520,4569,0.00001138
dijkstra,0.0506,4569,0.00001107
dijkstra,0.0624,4569,0.00001366
dijkstra,0.0533,4569,0.00001167
dijkstra,0.0485,4391,0.00001106
dijkstra,0.0460,4304,0.00001069
dijkstra,0.0516,4211,0.00001225
dijkstra,0.0691,4117,0.00001678
dijkstra,0.0690,4024,0.00001714
dijkstra,0.0630,3736,0.00001685
dijkstra,0.0477,3530,0.00001353
dijkstra,0.0594,3531,0.00001681
dijkstra,0.0473,3635,0.00001301
dijkstra,0.0636,3741,0.00001700
dijkstra,0.0432,3668,0.00001176
dijkstra,0.0445,3506,0.00001269
dijkstra,2.2136,2636,0.00083975
dijkstra,0.0160,2636,0.00000606
dijkstra,0.0128,2636,0.00000485
dijkstra,0.0123,2636,0.00000465
dijkstra,0.0136,2636,0.00000515
dijkstra,0.0135,2636,0.00000512
dijkstra,0.0143,2636,0.00000541
dijkstra,0.0162,2636,0.00000613
dijkstra,0.0151,2636,0.00000573
dijkstra,0.0176,2636,0.00000666
dijkstra,0.0152,2636,0.00000577
dijkstra,0.0135,2636,0.00000512
dijkstra,0.0137,2636,0.00000519
dijkstra,0.0139,2636,0.00000526
dijkstra,0.0119,2636,0.00000452
dijkstra,0.0130,2636,0.00000495
dijkstra,0.0132,2636,0.00000500
dijkstra,0.0196,2636,0.00000745
dijkstra,0.0439,2636,0.00001664
dijkstra,0.0213,2636,0.00000808
dijkstra,0.0216,2636,0.00000818
dijkstra,0.0320,2636,0.00001214
dijkstra,0.0124,2636,0.00000469
dijkstra,0.0121,2636,0.00000459
dijkstra,3.5900,4095,0.00087668
astar,2.3485,2749,0.00085431
dijkstra,0.0105,2226,0.00000470
astar,0.0033,507,0.00000648
dijkstra,0.0116,2226,0.00000520
dijkstra,0.0112,2226,0.00000502
astar,0.0035,507,0.00000683
dijkstra,0.0202,4359,0.00000463
astar,0.0063,1154,0.00000550
